Date,Open,High,Low,Close,Adj Close,Volume
2018-12-18,11200.000000,11475.000000,11200.000000,11375.000000,10194.189453,3187100
2018-12-19,11375.000000,11600.000000,11275.000000,11500.000000,10306.212891,5404400
2018-12-20,11400.000000,11550.000000,11400.000000,11475.000000,10283.807617,4191200
2018-12-21,11325.000000,11500.000000,11275.000000,11500.000000,10306.212891,5685900
2018-12-24,11500.000000,11500.000000,11500.000000,11500.000000,10306.212891,0
2018-12-25,11500.000000,11500.000000,11500.000000,11500.000000,10306.212891,0
2018-12-26,11275.000000,11575.000000,11250.000000,11550.000000,10351.024414,3075600
2018-12-27,11550.000000,11725.000000,11550.000000,11675.000000,10463.047852,3861600
2018-12-28,11625.000000,11675.000000,11500.000000,11500.000000,10306.212891,3678400
2018-12-31,11500.000000,11500.000000,11500.000000,11500.000000,10306.212891,0
2019-01-01,11500.000000,11500.000000,11500.000000,11500.000000,10306.212891,0
2019-01-02,11325.000000,11500.000000,11325.000000,11475.000000,10283.807617,2058500
2019-01-03,11550.000000,11550.000000,11250.000000,11525.000000,10328.617188,5165100
2019-01-04,11400.000000,11550.000000,11400.000000,11500.000000,10306.212891,4452100
2019-01-07,11500.000000,11625.000000,11400.000000,11400.000000,10216.593750,2905100
2019-01-08,11400.000000,11450.000000,11000.000000,11300.000000,10126.975586,6714700
2019-01-09,11250.000000,11450.000000,11050.000000,11200.000000,10037.356445,4719700
2019-01-10,11300.000000,11925.000000,11275.000000,11925.000000,10687.095703,11074100
2019-01-11,11750.000000,11850.000000,11500.000000,11575.000000,10373.427734,7872200
2019-01-14,11550.000000,11675.000000,11375.000000,11575.000000,10373.427734,4085900
2019-01-15,11625.000000,11825.000000,11500.000000,11800.000000,10575.071289,5274000
2019-01-16,11800.000000,11925.000000,11600.000000,11925.000000,10687.095703,6989600
2019-01-17,12000.000000,12475.000000,11975.000000,12425.000000,11135.191406,9803300
2019-01-18,12575.000000,12700.000000,12250.000000,12700.000000,11381.644531,6332500
2019-01-21,12700.000000,13075.000000,12650.000000,12975.000000,11628.097656,5890100
2019-01-22,13075.000000,13075.000000,12750.000000,13075.000000,11717.716797,5928900
2019-01-23,13050.000000,13075.000000,12850.000000,12975.000000,11628.097656,4192600
2019-01-24,13000.000000,13250.000000,12900.000000,13200.000000,11829.740234,9803500
2019-01-25,13350.000000,13450.000000,13125.000000,13200.000000,11829.740234,3683800
2019-01-28,13425.000000,13450.000000,12750.000000,13075.000000,11717.716797,7333400
2019-01-29,12875.000000,13100.000000,12775.000000,12875.000000,11538.477539,7886900
2019-01-30,12750.000000,12750.000000,12225.000000,12550.000000,11247.215820,7945000
2019-01-31,12750.000000,13000.000000,12675.000000,12675.000000,11359.239258,11378800
2019-02-01,12700.000000,13200.000000,12475.000000,12725.000000,11404.049805,5587000
2019-02-04,12725.000000,12800.000000,12250.000000,12250.000000,10978.357422,7868700
2019-02-05,12250.000000,12250.000000,12250.000000,12250.000000,10978.357422,0
2019-02-06,12500.000000,13025.000000,12450.000000,12900.000000,11560.881836,5348000
2019-02-07,12800.000000,12950.000000,12725.000000,12800.000000,11471.263672,2429400
2019-02-08,12800.000000,12800.000000,12450.000000,12500.000000,11202.405273,2870300
2019-02-11,12500.000000,12625.000000,12375.000000,12475.000000,11180.000977,3507500
2019-02-12,12350.000000,12550.000000,12200.000000,12300.000000,11023.167969,5148500
2019-02-13,12350.000000,12775.000000,12350.000000,12675.000000,11359.239258,5368200
2019-02-14,12650.000000,12675.000000,12200.000000,12400.000000,11112.786133,4466100
2019-02-15,12300.000000,12300.000000,11950.000000,12025.000000,10776.713867,6521800
2019-02-18,12200.000000,12725.000000,11925.000000,12500.000000,11202.405273,6260600
2019-02-19,12675.000000,12675.000000,12475.000000,12475.000000,11180.000977,1594200
2019-02-20,12675.000000,13000.000000,12600.000000,12900.000000,11560.881836,15609100
2019-02-21,12950.000000,13025.000000,12575.000000,12925.000000,11583.287109,4629600
2019-02-22,12725.000000,12875.000000,12500.000000,12575.000000,11269.620117,4526700
2019-02-25,12600.000000,13025.000000,12450.000000,12950.000000,11605.692383,4324800
2019-02-26,12875.000000,13100.000000,12600.000000,12925.000000,11583.287109,1514100
2019-02-27,12850.000000,12850.000000,12550.000000,12600.000000,11292.025391,3519300
2019-02-28,12800.000000,12875.000000,12575.000000,12650.000000,11336.834961,4715200
2019-03-01,12650.000000,13000.000000,12650.000000,12875.000000,11538.477539,4572000
2019-03-04,13000.000000,13050.000000,12900.000000,12900.000000,11560.881836,3583900
2019-03-05,13000.000000,13000.000000,12750.000000,12850.000000,11516.072266,3340900
2019-03-06,12900.000000,13000.000000,12700.000000,12700.000000,11381.644531,1760800
2019-03-07,12700.000000,12700.000000,12700.000000,12700.000000,11381.644531,0
2019-03-08,12600.000000,12750.000000,12475.000000,12475.000000,11180.000977,2083400
2019-03-11,12500.000000,12750.000000,12425.000000,12650.000000,11336.834961,1373400
2019-03-12,12650.000000,12850.000000,12550.000000,12600.000000,11292.025391,948000
2019-03-13,12350.000000,12750.000000,12325.000000,12725.000000,11404.049805,2221000
2019-03-14,12725.000000,12975.000000,12725.000000,12875.000000,11538.477539,2282600
2019-03-15,13050.000000,13100.000000,12875.000000,12925.000000,11583.287109,4609600
2019-03-18,13125.000000,13350.000000,13125.000000,13250.000000,11874.549805,2937300
2019-03-19,13400.000000,13400.000000,13200.000000,13225.000000,11852.144531,2656000
2019-03-20,13100.000000,13300.000000,12775.000000,12800.000000,11471.263672,1588300
2019-03-21,13250.000000,13600.000000,13250.000000,13575.000000,12165.812500,10705200
2019-03-22,13800.000000,13850.000000,13375.000000,13650.000000,12233.027344,2744000
2019-03-25,13525.000000,13575.000000,13125.000000,13400.000000,12008.979492,2476500
2019-03-26,13625.000000,13900.000000,13500.000000,13875.000000,12434.669922,2120500
2019-03-27,13700.000000,14000.000000,13700.000000,13875.000000,12434.669922,2144600
2019-03-28,13800.000000,14000.000000,13525.000000,13750.000000,12322.646484,1916200
2019-03-29,13875.000000,14000.000000,13700.000000,13875.000000,12434.669922,4149900
2019-04-01,14000.000000,14075.000000,13875.000000,13950.000000,12501.883789,2975000
2019-04-02,13800.000000,13875.000000,13300.000000,13725.000000,12300.241211,2940500
2019-04-03,13725.000000,13725.000000,13725.000000,13725.000000,12300.241211,0
2019-04-04,13600.000000,14450.000000,13600.000000,14450.000000,12949.982422,5148100
2019-04-05,13850.000000,14100.000000,13575.000000,13575.000000,12165.812500,2302900
2019-04-08,13650.000000,13750.000000,13325.000000,13450.000000,12053.788086,4099100
2019-04-09,13800.000000,14300.000000,13725.000000,14075.000000,12613.909180,6296400
